bin,lo,hi,count,confidence,accuracy,gap,device,precision,variant
8,0.8,0.9,0,,,,jetson,int8,featureHardKD
9,0.9,1.0,0,,,,jetson,int8,featureHardKD
0,0.0,0.1,24,0.08826332787672679,0.0,0.08826332787672679,legion,fp32,baseline
1,0.1,0.2,434,0.16059935772748588,0.07142857142857142,0.08917078629891445,legion,fp32,baseline
2,0.2,0.30000000000000004,490,0.24361287124302922,0.28775510204081634,0.04414223079778712,legion,fp32,baseline
3,0.30000000000000004,0.4,160,0.3430807748809457,0.48125,0.13816922511905433,legion,fp32,baseline
4,0.4,0.5,50,0.4417113882303238,0.66,0.21828861176967623,legion,fp32,baseline
5,0.5,0.6000000000000001,11,0.5388650027188387,0.9090909090909091,0.3702259063720703,legion,fp32,baseline
6,0.6000000000000001,0.7000000000000001,1,0.6243069767951965,1.0,0.37569302320480347,legion,fp32,baseline
7,0.7000000000000001,0.8,0,,,,legion,fp32,baseline
8,0.8,0.9,0,,,,legion,fp32,baseline
9,0.9,1.0,0,,,,legion,fp32,baseline
0,0.0,0.1,220,0.05558470737993378,0.022727272727272728,0.032857434652661055,legion,fp32,logitKD
1,0.1,0.2,269,0.1459096489010247,0.05947955390334572,0.08643009499767898,legion,fp32,logitKD
2,0.2,0.30000000000000004,180,0.2503608909746011,0.13333333333333333,0.1170275576412678,legion,fp32,logitKD
3,0.30000000000000004,0.4,174,0.3445917282296323,0.2988505747126437,0.0457411535169886,legion,fp32,logitKD
4,0.4,0.5,153,0.44289983292810275,0.45751633986928103,0.014616506941178276,legion,fp32,logitKD
5,0.5,0.6000000000000001,93,0.5393023144814276,0.6129032258064516,0.073600911325024,legion,fp32,logitKD
6,0.6000000000000001,0.7000000000000001,28,0.6434290132352284,0.75,0.10657098676477161,legion,fp32,logitKD
7,0.7000000000000001,0.8,31,0.7399476285903684,0.8709677419354839,0.13102011334511543,legion,fp32,logitKD
8,0.8,0.9,17,0.8387336064787472,0.9411764705882353,0.10244286410948811,legion,fp32,logitKD
9,0.9,1.0,5,0.9194467067718506,1.0,0.08055329322814941,legion,fp32,logitKD
0,0.0,0.1,246,0.05797530599392769,0.028455284552845527,0.02952002144108216,legion,fp32,featureKD
1,0.1,0.2,250,0.14754391169548034,0.048,0.09954391169548034,legion,fp32,featureKD
2,0.2,0.30000000000000004,179,0.2493703493525862,0.16759776536312848,0.08177258398945772,legion,fp32,featureKD
3,0.30000000000000004,0.4,184,0.3500632815386938,0.29891304347826086,0.05115023806043295,legion,fp32,featureKD
4,0.4,0.5,156,0.4448436731711412,0.5,0.05515632682885879,legion,fp32,featureKD
5,0.5,0.6000000000000001,71,0.5430467682825008,0.5915492957746479,0.04850252749214712,legion,fp32,featureKD
6,0.6000000000000001,0.7000000000000001,37,0.6451948558962023,0.6756756756756757,0.030480819779473367,legion,fp32,featureKD
7,0.7000000000000001,0.8,25,0.7469399142265319,0.92,0.1730600857734681,legion,fp32,featureKD
8,0.8,0.9,19,0.8387904700480009,1.0,0.1612095299519991,legion,fp32,featureKD
9,0.9,1.0,3,0.9104263385136923,0.6666666666666666,0.24375967184702563,legion,fp32,featureKD
0,0.0,0.1,88,0.07942423948340795,0.011363636363636364,0.06806060311977158,legion,fp32,featureHardKD
1,0.1,0.2,515,0.15232887538602052,0.08349514563106795,0.06883372975495257,legion,fp32,featureHardKD
2,0.2,0.30000000000000004,359,0.24356604004304722,0.32590529247910865,0.08233925243606144,legion,fp32,featureHardKD
3,0.30000000000000004,0.4,136,0.33588673853698897,0.5294117647058824,0.1935250261688934,legion,fp32,featureHardKD
