device,precision,variant,pathology,threshold,sensitivity,specificity,youden_j,tp,fp,tn,fn,ppv,npv,n_pos,n_neg
legion,fp16,featureKD,Pleural Effusion,0.3891982436180115,0.7910447761194029,0.8682634730538922,0.6593082491732951,53,22,145,14,0.7066666666666667,0.9119496855345912,67,167
legion,fp16,featureHardKD,Cardiomegaly,0.19421492516994476,0.6470588235294118,0.8012048192771084,0.4482636428065203,44,33,133,24,0.5714285714285714,0.8471337579617835,68,166
legion,fp16,featureHardKD,Edema,0.2525683641433716,0.9111111111111111,0.8042328042328042,0.7153439153439152,41,37,152,4,0.5256410256410257,0.9743589743589743,45,189
legion,fp16,featureHardKD,Consolidation,0.18639105558395386,0.9393939393939394,0.7213930348258707,0.66078697421981,31,56,145,2,0.3563218390804598,0.9863945578231292,33,201
legion,fp16,featureHardKD,Atelectasis,0.2568320035934448,0.725,0.7077922077922078,0.43279220779220773,58,45,109,22,0.5631067961165048,0.8320610687022901,80,154
legion,fp16,featureHardKD,Pleural Effusion,0.26378899812698364,0.8955223880597015,0.7844311377245509,0.6799535257842524,60,36,131,7,0.625,0.9492753623188406,67,167
legion,int8,baseline,Cardiomegaly,0.21800270676612854,0.75,0.5421686746987951,0.29216867469879526,51,76,90,17,0.4015748031496063,0.8411214953271028,68,166
legion,int8,baseline,Edema,0.25701844692230225,0.7555555555555555,0.7883597883597884,0.5439153439153439,34,40,149,11,0.4594594594594595,0.93125,45,189
legion,int8,baseline,Consolidation,0.19790911674499512,0.7575757575757576,0.6368159203980099,0.3943916779737675,25,73,128,8,0.25510204081632654,0.9411764705882353,33,201
legion,int8,baseline,Atelectasis,0.23213601112365723,0.5375,0.7077922077922078,0.24529220779220773,43,45,109,37,0.48863636363636365,0.7465753424657534,80,154
legion,int8,baseline,Pleural Effusion,0.3080861568450928,0.9104477611940298,0.6107784431137725,0.5212262043078022,61,65,102,6,0.48412698412698413,0.9444444444444444,67,167
legion,int8,logitKD,Cardiomegaly,0.19590157270431519,0.7941176470588235,0.6686746987951807,0.4627923458540042,54,55,111,14,0.4954128440366973,0.888,68,166
legion,int8,logitKD,Edema,0.3390612304210663,0.8666666666666667,0.7883597883597884,0.6550264550264551,39,40,149,6,0.4936708860759494,0.9612903225806452,45,189
legion,int8,logitKD,Consolidation,0.37983837723731995,0.8181818181818182,0.8059701492537313,0.6241519674355496,27,39,162,6,0.4090909090909091,0.9642857142857143,33,201
legion,int8,logitKD,Atelectasis,0.3934433162212372,0.7875,0.6753246753246753,0.4628246753246752,63,50,104,17,0.5575221238938053,0.859504132231405,80,154
legion,int8,logitKD,Pleural Effusion,0.4712536334991455,0.7910447761194029,0.8383233532934131,0.629368129412816,53,27,140,14,0.6625,0.9090909090909091,67,167
legion,int8,featureKD,Cardiomegaly,0.4446552097797394,0.7794117647058824,0.6807228915662651,0.46013465627214734,53,53,113,15,0.5,0.8828125,68,166
legion,int8,featureKD,Edema,0.630571186542511,0.6444444444444445,0.8571428571428571,0.5015873015873016,29,27,162,16,0.5178571428571429,0.9101123595505618,45,189
legion,int8,featureKD,Consolidation,0.3510885536670685,0.9090909090909091,0.527363184079602,0.4364540931705112,30,95,106,3,0.24,0.9724770642201835,33,201
legion,int8,featureKD,Atelectasis,0.22270013391971588,0.825,0.5714285714285714,0.39642857142857135,66,66,88,14,0.5,0.8627450980392157,80,154
legion,int8,featureKD,Pleural Effusion,0.581303060054779,0.7761194029850746,0.7425149700598802,0.518634373044955,52,43,124,15,0.5473684210526316,0.8920863309352518,67,167
legion,int8,featureHardKD,Cardiomegaly,0.15102779865264893,0.8823529411764706,0.42771084337349397,0.3100637845499645,60,95,71,8,0.3870967741935484,0.8987341772151899,68,166
legion,int8,featureHardKD,Edema,0.23353151977062225,0.8,0.798941798941799,0.5989417989417989,36,38,151,9,0.4864864864864865,0.94375,45,189
legion,int8,featureHardKD,Consolidation,0.16981852054595947,0.9696969696969697,0.5970149253731343,0.566711895070104,32,81,120,1,0.2831858407079646,0.9917355371900827,33,201
legion,int8,featureHardKD,Atelectasis,0.23161423206329346,0.7375,0.6103896103896104,0.3478896103896103,59,60,94,21,0.4957983193277311,0.8173913043478261,80,154
legion,int8,featureHardKD,Pleural Effusion,0.3478693664073944,0.7910447761194029,0.8203592814371258,0.6114040575565287,53,30,137,14,0.6385542168674698,0.9072847682119205,67,167
